iter	Passed	Remaining
585	1108	783
586	1109	780
587	1111	778
588	1112	776
589	1113	773
590	1114	771
591	1115	768
592	1116	766
593	1117	764
594	1119	761
595	1120	759
596	1121	757
597	1122	754
598	1124	752
599	1125	750
600	1126	748
601	1127	745
602	1129	743
603	1130	741
604	1131	738
605	1133	736
606	1134	734
607	1135	732
608	1137	730
609	1138	727
610	1140	725
611	1141	723
612	1142	721
613	1144	719
614	1145	716
615	1146	714
616	1147	712
617	1148	710
618	1150	707
619	1151	705
620	1152	703
621	1154	701
622	1155	699
623	1156	696
624	1157	694
625	1158	692
626	1160	690
627	1161	687
628	1162	685
629	1163	683
630	1164	681
631	1166	678
632	1167	676
633	1168	674
634	1170	672
635	1171	670
636	1172	668
637	1174	666
638	1175	663
639	1176	661
640	1177	659
641	1178	657
642	1179	654
643	1180	652
644	1181	650
645	1182	647
646	1183	645
647	1184	643
648	1185	641
649	1186	639
650	1187	636
651	1188	634
652	1189	632
653	1190	630
654	1192	628
655	1193	625
656	1194	623
657	1195	621
658	1196	619
659	1197	617
660	1199	615
661	1200	612
662	1201	610
663	1202	608
664	1203	606
665	1204	604
666	1205	601
667	1206	599
668	1207	597
669	1208	595
670	1209	593
671	1210	590
672	1211	588
673	1212	586
674	1214	584
675	1215	582
676	1216	580
677	1217	578
678	1218	575
679	1219	573
680	1220	571
681	1221	569
682	1222	567
683	1223	565
684	1224	563
685	1225	561
686	1226	558
687	1228	556
688	1229	554
689	1230	552
690	1231	550
691	1232	548
692	1233	546
693	1234	544
694	1235	542
695	1236	540
696	1237	537
697	1238	535
698	1239	533
699	1239	531
700	1240	529
701	1241	527
702	1243	525
703	1244	523
704	1245	521
705	1246	519
706	1247	517
707	1248	515
708	1249	512
709	1250	510
710	1251	508
711	1252	506
712	1253	504
713	1254	502
714	1254	500
715	1255	498
716	1256	496
717	1257	494
718	1259	492
719	1261	490
720	1262	488
721	1263	486
722	1264	484
723	1266	482
724	1267	480
725	1268	478
726	1269	476
727	1270	474
728	1271	472
729	1273	470
730	1274	469
731	1275	467
732	1276	465
733	1278	463
734	1279	461
735	1280	459
736	1281	457
737	1282	455
738	1283	453
739	1283	451
740	1284	449
741	1285	447
742	1287	445
743	1288	443
744	1289	441
745	1290	439
746	1291	437
747	1292	435
748	1293	433
749	1294	431
750	1295	429
751	1296	427
752	1297	425
753	1298	423
754	1299	421
755	1300	419
756	1301	417
757	1302	415
758	1303	413
759	1305	412
760	1306	410
761	1307	408
762	1308	406
763	1309	404
764	1310	402
765	1311	400
766	1312	398
767	1314	397
768	1315	395
769	1316	393
770	1317	391
771	1319	389
772	1320	387
773	1321	385
774	1322	383
775	1323	382
776	1325	380
777	1326	378
778	1327	376
779	1328	374
780	1329	372
781	1330	370
782	1332	369
783	1333	367
784	1334	365
785	1335	363
786	1336	361
787	1338	359
788	1339	358
789	1340	356
790	1341	354
791	1342	352
792	1343	350
793	1345	348
794	1346	347
795	1347	345
796	1348	343
797	1350	341
798	1351	339
799	1352	338
800	1353	336
801	1354	334
802	1355	332
803	1357	330
804	1358	328
805	1359	327
806	1360	325
807	1361	323
808	1362	321
809	1364	319
810	1365	318
811	1366	316
812	1368	314
813	1369	312
814	1370	311
815	1371	309
816	1373	307
817	1374	305
818	1375	303
819	1376	302
820	1377	300
821	1379	298
822	1380	296
823	1381	295
824	1382	293
825	1383	291
826	1384	289
827	1385	287
828	1386	286
829	1387	284
830	1388	282
831	1389	280
832	1390	278
833	1391	276
834	1392	275
835	1394	273
836	1395	271
837	1396	269
838	1397	268
839	1398	266
840	1399	264
841	1400	262
842	1401	261
843	1402	259
844	1404	257
845	1405	255
846	1406	254
847	1408	252
848	1409	250
849	1410	248
850	1412	247
851	1413	245
852	1414	243
853	1415	241
854	1416	240
855	1417	238
856	1418	236
857	1419	234
858	1420	233
859	1421	231
860	1422	229
861	1423	227
862	1424	226
863	1425	224
864	1426	222
865	1427	220
866	1428	219
867	1429	217
868	1430	215
869	1431	213
870	1432	212
871	1432	210
872	1433	208
873	1434	206
874	1435	205
875	1436	203
876	1437	201
877	1438	199
878	1439	198
879	1441	196
880	1442	194
881	1443	193
882	1444	191
883	1445	189
884	1446	187
885	1447	186
886	1448	184
887	1450	182
888	1451	181
889	1452	179
890	1453	177
891	1455	176
892	1456	174
893	1457	172
894	1459	171
895	1460	169
896	1461	167
897	1462	166
898	1463	164
899	1464	162
900	1466	161
901	1467	159
902	1469	157
903	1470	156
904	1471	154
905	1473	152
906	1474	151
907	1475	149
908	1476	147
909	1477	146
910	1478	144
911	1479	142
912	1480	141
913	1482	139
914	1483	137
915	1484	136
916	1485	134
917	1487	132
918	1488	131
919	1489	129
920	1490	127
921	1491	126
922	1492	124
923	1493	122
924	1494	121
925	1495	119
926	1496	117
927	1497	116
928	1498	114
929	1499	112
930	1500	111
931	1501	109
932	1502	107
933	1503	106
934	1504	104
935	1505	102
936	1506	101
937	1507	99
938	1508	97
939	1508	96
940	1509	94
941	1510	93
942	1511	91
943	1512	89
944	1513	88
945	1515	86
946	1516	84
947	1517	83
948	1518	81
949	1519	79
950	1520	78
951	1522	76
952	1523	75
953	1524	73
954	1525	71
955	1525	70
956	1526	68
957	1527	66
958	1529	65
959	1530	63
960	1531	62
961	1532	60
962	1533	58
963	1534	57
964	1535	55
965	1536	54
966	1537	52
967	1538	50
968	1539	49
969	1540	47
970	1541	46
971	1542	44
972	1543	42
973	1544	41
974	1545	39
975	1546	38
976	1547	36
977	1548	34
978	1549	33
979	1550	31
980	1551	30
981	1552	28
982	1553	26
983	1554	25
984	1555	23
985	1556	22
986	1558	20
987	1559	18
988	1560	17
989	1561	15
990	1562	14
991	1563	12
992	1564	11
993	1565	9
994	1566	7
995	1567	6
996	1568	4
997	1569	3
998	1570	1
999	1571	0
